,Title,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Distributor
79,Leave No Trace,['Drama'],English,Debra Granik,"Anne Harrison,Linda Reisman,Anne Rosellini","Debra Granik,Anne Rosellini","Jun 29, 2018limited","Oct 2, 2018",1h 48m,Bleecker Street Media
80,The Innocents,"['Horror', 'Mystery & thriller']",Norwegian,Eskil Vogt,"Maria Ekerhovd,Misha Jaari,Mark Lwoff",Eskil Vogt,"May 13, 2022limited","May 13, 2022",1h 58m,IFC Midnight
81,Luther: The Fallen Sun,"['Crime', 'Drama', 'Mystery & thriller']",English (United Kingdom),Jamie Payne,"Peter Chernin,Neil Cross,Idris Elba,David Ready,Jenno Topping",Neil Cross,"Feb 24, 2023limited","Mar 10, 2023",2h 8m,Netflix
82,The Batman,"['Action', 'Adventure', 'Crime', 'Drama']",English,Matt Reeves,"Dylan Clark,Matt Reeves","Matt Reeves,Peter Craig","Mar 4, 2022wide","Apr 19, 2022",2h 56m,Warner Bros. Pictures
83,Barbarian,"['Horror', 'Mystery & thriller']",English,Zach Cregger,"Arnon Milchan,Roy Lee,Raphael Margules,J.D. Lifshitz",Zach Cregger,"Sep 9, 2022wide","Oct 25, 2022",1h 42m,20th Century Studios
84,The Fabelmans,['Drama'],English,Steven Spielberg,"Kristie Macosko Krieger,Steven Spielberg,Tony Kushner","Steven Spielberg,Tony Kushner","Nov 23, 2022wide","Dec 13, 2022",2h 31m,Universal Pictures
85,Hellbender,['Horror'],English,"John Adams,Zelda Adams,Toby Poser",Toby Poser,"Zelda Adams,Toby Poser,John Adams",,"Feb 24, 2022",1h 26m,
86,Where the Crawdads Sing,"['Drama', 'Mystery & thriller']",English,Olivia Newman,"Aislinn Dunster,Elizabeth Gabler,Reese Witherspoon,Erin Siminoff,Lauren Levy Neustadter",Lucy Alibar,"Jul 15, 2022wide","Sep 13, 2022",2h 5m,Sony Pictures Entertainment
87,Time Trap,"['Sci-fi', 'Adventure', 'Mystery & thriller']",English,"Mark Dennis,Ben Foster","Mark Dennis,Ben Foster",Mark Dennis,"Nov 2, 2018limited","Nov 15, 2018",1h 27m,Paladin
88,Champions,['Comedy'],English,Robert Farrelly,"Paul Brooks,Scott Niemeyer,Jeremy Plager",Mark Rizzo,"Mar 10, 2023wide","Mar 28, 2023",2h 3m,Focus Features
89,RRR,"['Action', 'Drama']",Telugu,S.S. Rajamouli,D.V.V. Danayya,"S.S. Rajamouli,Sai Madhav Burra","Mar 25, 2022wide","May 22, 2022",3h 7m,Sarigama Cinemas
90,Interstellar,"['Sci-fi', 'Adventure', 'Action']",English,Christopher Nolan,"Emma Thomas,Christopher Nolan,Lynda Obst","Jonathan Nolan,Christopher Nolan","Nov 7, 2014wide","Mar 31, 2015",2h 45m,Paramount Pictures
91,Tár,"['Drama', 'Music']",English,Todd Field,"Todd Field,Alexandra Milchan,Scott Lambert",Todd Field,"Oct 28, 2022wide","Dec 20, 2022",2h 38m,Focus Features
92,Chaos Walking,"['Sci-fi', 'Adventure']",English,Doug Liman,"Doug Davison,Allison Shearmur,Erwin Stoff,Alison Winter","Patrick Ness,Christopher Ford","Mar 5, 2021wide","Apr 2, 2021",1h 49m,Lionsgate Films
93,All Quiet on the Western Front,"['War', 'History', 'Drama', 'Action']",German,Edward Berger,"Malte Grunert,Daniel Dreifuss","Lesley Paterson,Ian Stokell","Oct 7, 2022limited","Oct 28, 2022",2h 28m,Netflix
94,The Hole in the Ground,"['Horror', 'Mystery & thriller']",English (United Kingdom),Lee Cronin,"John Keville,Conor Barry","Lee Cronin,Stephen Shields","Mar 1, 2019limited","Feb 26, 2019",1h 30m,A24
